@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 43\nSize of the tree: 85\n','Number of rules: 29\n','Number of rules: 34\n','Number of rules: 33\n','Number of rules: 37\n','Number of rules: 30\n','Number of rules: 35\n','Number of rules: 28\n','Number of rules: 40\n','Number of rules: 38\n','Number of rules: 27\n','Number of rules: 36\n','Number of rules: 31\n','Number of rules: 41\n','Number of rules: 39\n','Number of rules: 24\n','Number of rules: 32\n','Number of rules: 42\n','Number of rules: 26\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pac-man,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,14,13,0,51.851852,48.148148,0,0.058981,0.202663,0.36965,84.47183,107.794441,42.9952,4325.063243,-4282.068043,1.592415,160.187528,-158.595113,8.317696,0.308063,19.345638,0.5,1,0.04,1,0.96,24,0.5,1,0.5,0.5,0.5,0.46,0.62,0.287037,0.518519,0.459704,0.540296,0.481481,?,0.518519,?,?,0.734954,0.666469,?,0.518519,0.004,0,0,0,0,0,16604,36625,5605,81.481481,45.185185,'Number of leaves: 28\nSize of the tree: 55\n',55,28,28
pac-man,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,18,10,0,64.285714,35.714286,0,0.377778,0.180324,0.344739,73.921723,98.658284,46.553773,5391.37221,-5344.818438,1.662635,192.549008,-190.886373,14.947839,0.533851,32.10876,0,0,0,0,1,25,1,3,?,0,?,?,0.793333,0.237395,0.642857,0.276915,0.723085,0.357143,?,0.642857,?,?,0.74979,0.656062,?,0.642857,0.006,0,0.015625,0,15.625,0,17572,36484,5746,82.142857,45,'Number of leaves: 30\nSize of the tree: 59\n',59,30,30
pac-man,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,17,11,0,60.714286,39.285714,0,0.334773,0.180858,0.334962,74.1407,95.860271,46.553773,3246.392551,-3199.838778,1.662635,115.942591,-114.279956,14.814416,0.529086,31.822161,0.333333,1,0.04,1,0.96,24,0.666667,2,0.5,0.333333,0.4,0.352282,0.673333,0.424603,0.607143,0.279389,0.720611,0.392857,0.604892,0.607143,0.595346,0.338487,0.742562,0.621147,0.490152,0.607143,0.004,0,0,0,0,0,15152,36484,5746,89.285714,46.428571,'Number of leaves: 25\nSize of the tree: 49\n',49,25,25
pac-man,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,14,14,0,50,50,0,0.179916,0.198491,0.376189,81.369126,107.658817,46.553773,2185.582444,-2139.028671,1.662635,78.056516,-76.393881,12.751598,0.455414,27.391116,0.666667,2,0.04,1,0.96,24,0.333333,1,0.666667,0.666667,0.666667,0.626667,0.906667,0.488889,0.5,0.38058,0.61942,0.5,0.5,0.5,0.5,0.11942,0.681705,0.565845,0.482292,0.5,0.005,0,0.015625,0,15.625,0,20476,36484,5746,89.285714,39.285714,'Number of leaves: 36\nSize of the tree: 71\n',71,36,36
pac-man,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,16,12,0,57.142857,42.857143,0,0.211268,0.192687,0.374778,79.397703,107.880117,45.443434,7534.377266,-7488.933832,1.62298,269.084902,-267.461923,10.76804,0.384573,23.69548,0,0,0.038462,1,0.961538,25,1,2,0,0,0,-0.053376,0.173077,0.071429,0.571429,0.367466,0.632534,0.428571,0.52619,0.571429,0.539229,0.22749,0.694046,0.580481,0.351984,0.571429,0.004,0,0,0,0,0,18056,36484,5746,75,42.142857,'Number of leaves: 31\nSize of the tree: 61\n',61,31,31
pac-man,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,19,8,0,70.37037,29.62963,0,0.494145,0.177473,0.328249,73.972315,95.721589,42.9952,4315.229822,-4272.234622,1.592415,159.823327,-158.230912,15.017068,0.556188,34.927313,0.5,1,0.04,1,0.96,24,0.5,1,0.5,0.5,0.5,0.46,0.78,0.308824,0.703704,0.196273,0.803727,0.296296,0.709877,0.703704,0.704185,0.510613,0.772424,0.644287,0.607346,0.703704,0.005,0,0,0,0,0,16120,36625,5605,85.185185,45.925926,'Number of leaves: 27\nSize of the tree: 53\n',53,27,27
pac-man,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,16,11,0,59.259259,40.740741,0,0.302817,0.184318,0.346508,76.82559,101.046077,42.9952,3249.586971,-3206.591771,1.592415,120.355073,-118.762658,11.395066,0.422039,26.503113,0,0,0.08,2,0.92,23,1,2,0,0,0,-0.08,0.55,0.098214,0.592593,0.261525,0.738475,0.407407,0.597884,0.592593,0.58642,0.333177,0.751398,0.62857,0.395833,0.592593,0.006,0,0,0,0,0,13216,36625,5605,88.888889,46.666667,'Number of leaves: 21\nSize of the tree: 41\n',41,21,21
pac-man,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,17,10,0,62.962963,37.037037,0,0.28382,0.169161,0.329704,70.507863,96.145688,42.9952,2174.351082,-2131.355882,1.592415,80.531522,-78.939107,13.091431,0.484868,30.448588,0,0,0,0,1,25,1,2,?,0,?,?,0.48,0.075499,0.62963,0.35295,0.64705,0.37037,?,0.62963,?,?,0.775015,0.635554,?,0.62963,0.004,0,0.015625,0,15.625,0,14668,36625,5605,92.592593,46.666667,'Number of leaves: 24\nSize of the tree: 47\n',47,24,24
pac-man,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,19,8,0,70.37037,29.62963,0,0.469287,0.143013,0.297775,59.609089,86.834855,42.9952,3238.820227,-3195.825027,1.592415,119.956305,-118.36389,18.584248,0.688305,43.224006,0.5,1,0.08,2,0.92,23,0.5,1,0.333333,0.5,0.4,0.35,0.6,0.287037,0.703704,0.236273,0.763727,0.296296,0.69856,0.703704,0.690487,0.495572,0.821161,0.733451,0.555882,0.703704,0.005,0,0,0,0,0,17088,36625,5605,88.888889,42.962963,'Number of leaves: 29\nSize of the tree: 57\n',57,29,29
pac-man,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,11,16,0,40.740741,59.259259,0,0.080851,0.245669,0.422867,100.091795,120.19183,44.906238,7546.103114,-7501.196876,1.663194,279.485301,-277.822107,3.247144,0.120265,7.230943,0,0,0.08,2,0.92,23,1,2,0,0,0,-0.08,0.3,0.074074,0.407407,0.351044,0.648956,0.592593,0.422602,0.407407,0.403439,0.050569,0.483642,0.380596,0.294643,0.407407,0.006,0,0.015625,0,15.625,0,13700,36625,5605,66.666667,42.962963,'Number of leaves: 22\nSize of the tree: 43\n',43,22,22
