@relation pac-man
@attribute ronda_tick NUMERIC
@attribute width NUMERIC
@attribute height NUMERIC
@attribute pmanPosX NUMERIC
@attribute pmanPosY NUMERIC
@attribute legalWest {None, West}
@attribute legalStop {None, Stop}
@attribute legalEast {None, East}
@attribute legalNorth {None, North}
@attribute legalSouth {None, South}
@attribute direction {Stop,West,East,North,South}
@attribute numAgents NUMERIC
@attribute livingG_0 {True,False}
@attribute livingG_1 {True,False}
@attribute livingG_2 {True,False}
@attribute livingG_3 {True,False}
@attribute livingG_4 {True,False}
@attribute g1posX NUMERIC
@attribute g1posY NUMERIC
@attribute g2posX NUMERIC
@attribute g2posY NUMERIC
@attribute g3posX NUMERIC
@attribute g3posY NUMERIC
@attribute g4posX NUMERIC
@attribute g4posY NUMERIC
@attribute g1dir {Stop,West,East,North,South}
@attribute g2dir {Stop,West,East,North,South}
@attribute g3dir {Stop,West,East,North,South}
@attribute g4dir {Stop,West,East,North,South}
@attribute g1dist NUMERIC
@attribute g2dist NUMERIC
@attribute g3dist NUMERIC
@attribute g4dist NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute score NUMERIC
@attribute scoreSiguiente NUMERIC
@attribute action {Stop,West,East,North,South}

@data
45,20,13,10,6,West,Stop,None,North,South,South,4,False,True,False,False,False,5,5,3,1,5,1,7,1,East,Stop,Stop,Stop,6,6,6,6,0,-1,755,West,754
46,20,13,9,6,West,Stop,East,North,South,West,4,False,True,False,False,False,5,4,3,1,5,1,7,1,South,Stop,Stop,Stop,6,6,6,6,0,-1,754,West,753
47,20,13,8,6,None,Stop,East,North,South,West,4,False,True,False,False,False,4,4,3,1,5,1,7,1,West,Stop,Stop,Stop,6,6,6,6,0,-1,753,South,752
48,20,13,8,5,West,Stop,East,North,South,South,4,False,True,False,False,False,3,4,3,1,5,1,7,1,West,Stop,Stop,Stop,6,6,6,6,0,-1,752,West,751
49,20,13,7,5,West,Stop,East,None,South,West,4,False,True,False,False,False,3,5,3,1,5,1,7,1,North,Stop,Stop,Stop,4,4,4,4,0,-1,751,West,750
50,20,13,6,5,West,Stop,East,None,South,West,4,False,True,False,False,False,2,5,3,1,5,1,7,1,West,Stop,Stop,Stop,4,4,4,4,0,-1,750,West,749
51,20,13,5,5,West,Stop,East,None,South,West,4,False,True,False,False,False,2,5,3,1,5,1,7,1,West,Stop,Stop,Stop,3,3,3,3,0,-1,749,West,748
52,20,13,4,5,West,Stop,East,None,South,West,4,False,True,False,False,False,1,5,3,1,5,1,7,1,West,Stop,Stop,Stop,3,3,3,3,0,-1,748,West,747
53,20,13,3,5,West,Stop,East,None,South,West,4,False,True,False,False,False,1,5,3,1,5,1,7,1,West,Stop,Stop,Stop,2,2,2,2,0,-1,747,West,746
54,20,13,2,5,West,Stop,East,None,South,West,4,False,True,False,False,False,1,4,3,1,5,1,7,1,South,Stop,Stop,Stop,2,2,2,2,0,-1,746,West,745
