@relation pac-man
@attribute ronda_tick NUMERIC
@attribute width NUMERIC
@attribute height NUMERIC
@attribute pmanPosX NUMERIC
@attribute pmanPosY NUMERIC
@attribute legalWest {None, West}
@attribute legalStop {None, Stop}
@attribute legalEast {None, East}
@attribute legalNorth {None, North}
@attribute legalSouth {None, South}
@attribute direction {Stop,West,East,North,South}
@attribute numAgents NUMERIC
@attribute livingG_0 {True,False}
@attribute livingG_1 {True,False}
@attribute livingG_2 {True,False}
@attribute livingG_3 {True,False}
@attribute livingG_4 {True,False}
@attribute g1posX NUMERIC
@attribute g1posY NUMERIC
@attribute g2posX NUMERIC
@attribute g2posY NUMERIC
@attribute g3posX NUMERIC
@attribute g3posY NUMERIC
@attribute g4posX NUMERIC
@attribute g4posY NUMERIC
@attribute g1dir {Stop,West,East,North,South}
@attribute g2dir {Stop,West,East,North,South}
@attribute g3dir {Stop,West,East,North,South}
@attribute g4dir {Stop,West,East,North,South}
@attribute g1dist NUMERIC
@attribute g2dist NUMERIC
@attribute g3dist NUMERIC
@attribute g4dist NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute score NUMERIC
@attribute scoreSiguiente NUMERIC
@attribute action {Stop,West,East,North,South}

@data
6,16,5,1,2,None,Stop,None,North,South,South,4,False,False,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,2,1,194,South,493
16,16,5,9,2,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1784,North,1783
17,16,5,9,3,West,Stop,East,None,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1783,East,1782
22,16,5,14,3,West,Stop,None,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1778,South,1977
4,22,18,11,5,West,Stop,East,North,South,West,4,False,True,True,True,True,3,4,6,14,15,16,19,3,South,West,East,South,9,9,9,9,12,2,-4,North,-5
5,22,18,11,6,West,Stop,East,North,South,North,4,False,True,True,True,True,3,4,6,14,15,15,19,4,South,West,South,North,10,10,10,10,12,1,-5,North,94
6,22,18,11,7,West,Stop,East,North,South,North,4,False,True,True,True,True,3,5,5,14,15,16,18,4,North,West,North,West,10,10,10,10,11,1,94,North,193
7,22,18,11,8,West,Stop,East,North,South,North,4,False,True,True,True,True,3,5,6,14,14,16,18,3,North,East,West,South,11,11,11,11,10,1,193,North,292
8,22,18,11,9,West,Stop,East,North,South,North,4,False,True,True,True,True,3,5,7,14,14,15,17,3,North,East,South,West,12,12,12,12,9,1,292,North,391
9,22,18,11,10,West,Stop,East,North,South,North,4,False,True,True,True,True,4,5,6,14,14,16,17,3,East,West,North,West,12,12,12,12,8,1,391,North,490
10,22,18,11,11,West,Stop,East,North,South,North,4,False,True,True,True,True,3,5,6,15,14,15,18,3,West,North,South,East,14,14,14,14,7,1,490,North,589
11,22,18,11,12,West,Stop,East,None,South,North,4,False,True,True,True,True,3,4,6,16,14,16,17,3,South,North,North,West,16,16,16,16,6,1,589,West,688
12,22,18,10,12,West,Stop,East,None,South,West,4,False,True,True,True,True,3,5,7,16,14,15,16,3,North,East,South,West,14,14,14,14,5,1,688,West,687
13,22,18,9,12,West,Stop,East,North,South,West,4,False,True,True,True,True,2,5,7,15,13,15,15,3,West,South,West,West,14,14,14,14,5,2,687,North,686
14,22,18,9,13,None,Stop,None,North,South,North,4,False,True,True,True,True,2,6,7,16,14,15,15,3,North,North,East,West,14,14,14,14,5,3,686,North,685
15,22,18,9,14,None,Stop,East,None,South,North,4,False,True,True,True,True,2,7,8,16,13,15,16,3,North,East,West,East,14,14,14,14,5,4,685,East,684
19,22,18,9,14,None,Stop,East,None,South,West,4,False,True,True,True,True,1,6,6,15,14,16,16,3,South,West,East,East,16,16,16,16,5,4,681,South,680
20,22,18,9,13,None,Stop,None,North,South,South,4,False,True,True,True,True,2,6,7,15,13,16,15,3,East,East,West,West,14,14,14,14,5,3,680,South,679
21,22,18,9,12,West,Stop,East,North,South,South,4,False,True,True,True,True,2,6,7,15,13,15,14,3,East,East,South,West,13,13,13,13,5,2,679,West,678
24,22,18,6,12,West,Stop,East,North,South,West,4,False,True,True,True,True,2,8,7,15,14,15,14,6,North,West,East,North,8,8,8,8,5,5,676,North,675
25,22,18,6,13,None,Stop,None,North,South,North,4,False,True,True,True,True,1,8,6,15,14,14,14,6,West,West,South,North,10,10,10,10,5,6,675,North,674
26,22,18,6,14,West,Stop,East,North,South,North,4,False,True,True,True,True,1,9,6,15,15,14,14,6,North,West,East,North,10,10,10,10,5,7,674,North,673
27,22,18,6,15,None,Stop,East,North,South,North,4,False,True,True,True,True,1,9,7,15,15,13,14,7,North,East,South,North,11,11,11,11,5,8,673,North,872
28,22,18,6,16,West,Stop,East,None,South,North,4,False,True,False,True,True,1,10,3,1,15,14,14,7,North,Stop,North,North,11,11,11,11,5,9,872,East,871
29,22,18,7,16,West,Stop,East,None,South,East,4,False,True,False,True,True,1,11,3,1,15,13,14,8,North,Stop,South,North,11,11,11,11,5,8,871,East,870
30,22,18,8,16,West,Stop,East,None,South,East,4,False,True,False,True,True,1,10,3,1,15,13,14,7,South,Stop,South,South,13,13,13,13,5,7,870,West,869
31,22,18,7,16,West,Stop,East,None,South,West,4,False,True,False,True,True,1,11,3,1,15,13,14,7,North,Stop,South,South,11,11,11,11,5,8,869,West,868
32,22,18,6,16,West,Stop,East,None,South,West,4,False,True,False,True,True,1,10,3,1,15,12,14,7,South,Stop,South,South,11,11,11,11,5,9,868,West,867
37,22,18,1,16,None,Stop,East,None,South,West,4,False,True,False,True,True,2,9,3,1,15,11,14,9,East,Stop,South,North,8,8,8,8,5,14,863,South,862
38,22,18,1,15,None,Stop,None,North,South,South,4,False,True,False,True,True,2,8,3,1,15,11,15,9,South,Stop,South,East,8,8,8,8,5,13,862,South,861
39,22,18,1,14,None,Stop,None,North,South,South,4,False,True,False,True,True,2,9,3,1,15,12,15,10,North,Stop,North,North,6,6,6,6,5,12,861,South,860
40,22,18,1,13,None,Stop,East,North,South,South,4,False,True,False,True,True,2,8,3,1,16,12,15,9,South,Stop,East,South,6,6,6,6,5,11,860,South,859
41,22,18,1,12,None,Stop,None,North,South,South,4,False,True,False,True,True,2,7,3,1,15,12,15,10,South,Stop,West,North,6,6,6,6,5,10,859,South,858
42,22,18,1,11,None,Stop,None,North,South,South,4,False,True,False,True,True,2,7,3,1,15,11,16,10,South,Stop,South,East,5,5,5,5,5,9,858,South,857
43,22,18,1,10,None,Stop,None,North,South,South,4,False,True,False,True,True,1,7,3,1,15,11,16,10,West,Stop,South,East,3,3,3,3,5,9,857,South,856
44,22,18,1,9,None,Stop,East,North,South,South,4,False,True,False,True,True,1,7,3,1,15,12,17,10,West,Stop,North,East,2,2,2,2,5,9,856,South,1055
45,22,18,1,8,None,Stop,East,North,South,South,4,False,False,False,True,True,1,8,3,1,15,12,16,10,Stop,Stop,North,West,-1,-1,-1,-1,5,9,1055,South,1054
46,22,18,1,7,None,Stop,East,North,South,South,4,False,False,False,True,True,1,1,3,1,15,11,16,10,Stop,Stop,South,West,-1,-1,-1,-1,5,9,1054,South,1053
47,22,18,1,6,None,Stop,East,North,South,South,4,False,False,False,True,True,1,1,3,1,15,10,17,10,Stop,Stop,South,East,-1,-1,-1,-1,5,10,1053,South,1052
48,22,18,1,5,None,Stop,East,North,South,South,4,False,False,False,True,True,1,1,3,1,15,10,17,9,Stop,Stop,South,South,-1,-1,-1,-1,5,11,1052,South,1051
49,22,18,1,4,None,Stop,East,North,South,South,4,False,False,False,True,True,1,1,3,1,14,10,17,9,Stop,Stop,West,South,-1,-1,-1,-1,5,12,1051,East,1050
50,22,18,2,4,West,Stop,East,North,South,East,4,False,False,False,True,True,1,1,3,1,14,10,17,9,Stop,Stop,West,South,-1,-1,-1,-1,5,11,1050,East,1049
51,22,18,3,4,West,Stop,None,North,South,East,4,False,False,False,True,True,1,1,3,1,14,9,17,8,Stop,Stop,South,South,-1,-1,-1,-1,5,10,1049,Stop,1048
52,22,18,3,4,West,Stop,None,North,South,East,4,False,False,False,True,True,1,1,3,1,14,10,17,7,Stop,Stop,North,South,-1,-1,-1,-1,5,10,1048,Stop,1047
53,22,18,3,4,West,Stop,None,North,South,East,4,False,False,False,True,True,1,1,3,1,15,10,16,7,Stop,Stop,East,West,-1,-1,-1,-1,5,10,1047,West,1046
54,22,18,2,4,West,Stop,East,North,South,West,4,False,False,False,True,True,1,1,3,1,14,10,15,7,Stop,Stop,West,West,-1,-1,-1,-1,5,11,1046,South,1045
65,22,18,10,4,None,Stop,East,North,South,North,4,False,False,False,True,True,1,1,3,1,16,10,15,7,Stop,Stop,East,South,-1,-1,-1,-1,5,3,1035,North,1034
66,22,18,10,5,West,Stop,East,North,South,North,4,False,False,False,True,True,1,1,3,1,15,10,15,8,Stop,Stop,West,North,-1,-1,-1,-1,5,2,1034,North,1033
67,22,18,10,6,West,Stop,East,North,South,North,4,False,False,False,True,True,1,1,3,1,15,9,14,8,Stop,Stop,South,West,-1,-1,-1,-1,5,1,1033,North,1132
68,22,18,10,7,West,Stop,East,North,South,North,4,False,False,False,True,True,1,1,3,1,14,9,14,8,Stop,Stop,West,West,-1,-1,-1,-1,4,1,1132,East,1131
69,22,18,11,7,West,Stop,East,North,South,East,4,False,False,False,True,True,1,1,3,1,14,9,14,7,Stop,Stop,West,South,-1,-1,-1,-1,4,2,1131,East,1130
70,22,18,12,7,West,Stop,East,North,South,East,4,False,False,False,True,True,1,1,3,1,14,8,14,8,Stop,Stop,South,North,-1,-1,-1,-1,4,3,1130,East,1129
72,22,18,14,7,West,Stop,East,North,South,East,4,False,False,False,True,True,1,1,3,1,15,9,15,9,Stop,Stop,North,North,-1,-1,-1,-1,4,5,1128,North,1127
73,22,18,14,8,None,Stop,East,North,South,North,4,False,False,False,True,True,1,1,3,1,15,8,14,9,Stop,Stop,South,West,-1,-1,-1,-1,4,4,1127,North,1126
74,22,18,14,9,West,Stop,East,North,South,North,4,False,False,False,True,True,1,1,3,1,15,7,14,10,Stop,Stop,South,North,-1,-1,-1,-1,4,4,1126,North,1125
75,22,18,14,10,None,Stop,East,None,South,North,4,False,False,False,True,True,1,1,3,1,14,7,15,10,Stop,Stop,West,East,-1,-1,-1,-1,4,4,1125,East,1324
76,22,18,15,10,West,Stop,East,North,South,East,4,False,False,False,True,False,1,1,3,1,15,7,15,10,Stop,Stop,East,Stop,-1,-1,-1,-1,4,5,1324,South,1323
77,22,18,15,9,West,Stop,None,North,South,South,4,False,False,False,True,False,1,1,3,1,15,7,7,1,Stop,Stop,East,Stop,-1,-1,-1,-1,4,5,1323,South,1322
78,22,18,15,8,West,Stop,None,North,South,South,4,False,False,False,True,False,1,1,3,1,14,7,7,1,Stop,Stop,West,Stop,-1,-1,-1,-1,4,5,1322,South,1321
3,22,18,11,5,West,Stop,East,North,South,West,4,False,True,True,True,True,3,5,7,16,13,15,19,4,North,North,West,West,8,8,8,8,12,2,-3,West,-4
4,22,18,10,5,West,Stop,East,North,South,West,4,False,True,True,True,True,2,5,8,16,14,15,19,4,West,East,East,West,8,8,8,8,12,2,-4,North,-5
5,22,18,10,6,West,Stop,East,North,South,North,4,False,True,True,True,True,2,6,8,15,14,14,18,4,North,South,South,West,8,8,8,8,12,1,-5,North,94
6,22,18,10,7,West,Stop,East,North,South,North,4,False,True,True,True,True,1,6,8,16,15,14,18,5,West,North,East,North,10,10,10,10,11,1,94,North,193
7,22,18,10,8,West,Stop,East,North,South,North,4,False,True,True,True,True,2,6,9,16,15,13,18,4,East,East,South,South,10,10,10,10,10,1,193,North,292
8,22,18,10,9,West,Stop,East,North,South,North,4,False,True,True,True,True,2,7,8,16,15,12,18,5,North,West,South,North,10,10,10,10,9,1,292,North,391
9,22,18,10,10,West,Stop,East,North,South,North,4,False,True,True,True,True,2,6,7,16,16,12,19,5,South,West,East,East,12,12,12,12,8,1,391,North,490
10,22,18,10,11,West,Stop,East,North,South,North,4,False,True,True,True,True,2,5,7,15,16,12,19,6,South,South,East,North,14,14,14,14,7,1,490,North,589
11,22,18,10,12,West,Stop,East,None,South,North,4,False,True,True,True,True,2,4,7,14,16,12,19,5,South,South,East,South,16,16,16,16,6,1,589,East,688
12,22,18,11,12,West,Stop,East,None,South,East,4,False,True,True,True,True,2,5,7,14,16,12,20,5,North,South,East,East,16,16,16,16,5,1,688,East,687
13,22,18,12,12,West,Stop,East,North,South,East,4,False,True,True,True,True,1,5,7,15,15,12,20,4,West,North,West,South,18,18,18,18,5,2,687,East,686
16,22,18,15,12,West,Stop,East,North,South,East,4,False,True,True,True,True,2,6,7,16,16,12,20,5,North,North,East,North,19,19,19,19,5,5,684,East,883
18,22,18,15,12,West,Stop,East,North,South,West,4,False,True,True,False,True,2,6,7,15,5,1,20,5,South,South,Stop,North,19,19,19,19,5,5,882,North,881
19,22,18,15,13,None,Stop,None,North,South,North,4,False,True,True,False,True,2,7,7,14,5,1,20,5,North,South,Stop,North,19,19,19,19,5,6,881,North,880
20,22,18,15,14,West,Stop,East,North,South,North,4,False,True,True,False,True,1,7,7,14,5,1,19,5,West,South,Stop,West,21,21,21,21,5,7,880,North,879
21,22,18,15,15,West,Stop,None,North,South,North,4,False,True,True,False,True,1,6,7,14,5,1,20,5,South,South,Stop,East,23,23,23,23,5,8,879,North,878
22,22,18,15,16,West,Stop,East,None,South,North,4,False,True,True,False,True,1,5,7,14,5,1,20,6,South,South,Stop,North,25,25,25,25,5,9,878,West,877
23,22,18,14,16,West,Stop,East,None,South,West,4,False,True,True,False,True,1,4,7,14,5,1,19,6,South,South,Stop,West,25,25,25,25,5,8,877,West,876
24,22,18,13,16,West,Stop,East,None,South,West,4,False,True,True,False,True,2,4,7,15,5,1,19,7,East,North,Stop,North,23,23,23,23,5,7,876,West,875
29,22,18,8,16,West,Stop,East,None,South,West,4,False,True,False,False,True,1,3,3,1,5,1,19,7,South,Stop,Stop,West,20,20,20,20,5,8,1071,West,1070
30,22,18,7,16,West,Stop,East,None,South,West,4,False,True,False,False,True,1,3,3,1,5,1,19,6,South,Stop,Stop,South,19,19,19,19,5,9,1070,West,1069
31,22,18,6,16,West,Stop,East,None,South,West,4,False,True,False,False,True,1,3,3,1,5,1,19,6,South,Stop,Stop,South,18,18,18,18,5,10,1069,South,1068
32,22,18,6,15,None,Stop,East,North,South,South,4,False,True,False,False,True,1,3,3,1,5,1,19,6,South,Stop,Stop,South,17,17,17,17,5,9,1068,South,1067
33,22,18,6,14,West,Stop,East,North,South,South,4,False,True,False,False,True,1,4,3,1,5,1,20,6,North,Stop,Stop,East,15,15,15,15,5,8,1067,South,1066
34,22,18,6,13,None,Stop,None,North,South,South,4,False,True,False,False,True,2,4,3,1,5,1,20,7,East,Stop,Stop,North,13,13,13,13,5,7,1066,South,1065
35,22,18,6,12,West,Stop,East,North,South,South,4,False,True,False,False,True,2,4,3,1,5,1,20,8,East,Stop,Stop,North,12,12,12,12,5,6,1065,South,1064
36,22,18,6,11,None,Stop,None,North,South,South,4,False,True,False,False,True,2,5,3,1,5,1,19,8,North,Stop,Stop,West,10,10,10,10,5,5,1064,South,1063
37,22,18,6,10,West,Stop,East,North,South,South,4,False,True,False,False,True,3,5,3,1,5,1,19,9,East,Stop,Stop,North,8,8,8,8,5,5,1063,West,1062
39,22,18,4,10,West,Stop,East,None,South,West,4,False,True,False,False,True,3,4,3,1,5,1,20,8,South,Stop,Stop,South,7,7,7,7,5,7,1061,West,1060
40,22,18,3,10,None,Stop,East,North,South,West,4,False,True,False,False,True,3,4,3,1,5,1,20,8,South,Stop,Stop,South,6,6,6,6,5,8,1060,South,1059
42,22,18,2,9,West,Stop,East,None,South,West,4,False,True,False,False,True,2,4,3,1,5,1,19,8,West,Stop,Stop,West,5,5,5,5,5,9,1058,West,1057
43,22,18,1,9,None,Stop,East,North,South,West,4,False,True,False,False,True,2,5,3,1,5,1,20,8,North,Stop,Stop,East,5,5,5,5,5,10,1057,South,1056
44,22,18,1,8,None,Stop,East,North,South,South,4,False,True,False,False,True,2,6,3,1,5,1,20,9,North,Stop,Stop,North,3,3,3,3,5,10,1056,South,1055
45,22,18,1,7,None,Stop,East,North,South,South,4,False,True,False,False,True,2,6,3,1,5,1,19,9,North,Stop,Stop,West,2,2,2,2,5,10,1055,East,1254
46,22,18,2,7,West,Stop,None,North,South,East,4,False,False,False,False,True,2,7,3,1,5,1,19,9,Stop,Stop,Stop,West,-1,-1,-1,-1,5,9,1254,Stop,1253
47,22,18,2,7,West,Stop,None,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,19,8,Stop,Stop,Stop,South,-1,-1,-1,-1,5,9,1253,South,1252
48,22,18,2,6,West,Stop,None,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,19,9,Stop,Stop,Stop,North,-1,-1,-1,-1,5,10,1252,South,1251
49,22,18,2,5,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,20,9,Stop,Stop,Stop,East,-1,-1,-1,-1,5,11,1251,East,1250
50,22,18,3,5,West,Stop,East,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,19,9,Stop,Stop,Stop,West,-1,-1,-1,-1,5,10,1250,East,1249
54,22,18,7,5,West,Stop,None,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,18,10,Stop,Stop,Stop,East,-1,-1,-1,-1,5,6,1246,North,1245
55,22,18,7,6,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,18,11,Stop,Stop,Stop,North,-1,-1,-1,-1,5,5,1245,North,1244
56,22,18,7,7,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,18,11,Stop,Stop,Stop,North,-1,-1,-1,-1,5,4,1244,East,1243
58,22,18,9,7,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,18,10,Stop,Stop,Stop,South,-1,-1,-1,-1,5,2,1242,East,1241
59,22,18,10,7,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,18,11,Stop,Stop,Stop,North,-1,-1,-1,-1,5,1,1241,East,1340
60,22,18,11,7,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,18,10,Stop,Stop,Stop,South,-1,-1,-1,-1,4,1,1340,North,1439
61,22,18,11,8,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,17,10,Stop,Stop,Stop,West,-1,-1,-1,-1,3,1,1439,North,1538
62,22,18,11,9,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,17,10,Stop,Stop,Stop,West,-1,-1,-1,-1,2,1,1538,North,1637
63,22,18,11,10,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,17,10,Stop,Stop,Stop,West,-1,-1,-1,-1,1,1,1637,North,1736
64,22,18,11,11,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,16,10,Stop,Stop,Stop,West,-1,-1,-1,-1,0,-1,1736,South,1735
65,22,18,11,10,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,16,10,Stop,Stop,Stop,West,-1,-1,-1,-1,0,-1,1735,South,1734
66,22,18,11,9,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,17,10,Stop,Stop,Stop,East,-1,-1,-1,-1,0,-1,1734,East,1733
67,22,18,12,9,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,17,10,Stop,Stop,Stop,East,-1,-1,-1,-1,0,-1,1733,East,1732
69,22,18,14,9,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,17,9,Stop,Stop,Stop,South,-1,-1,-1,-1,0,-1,1731,East,1730
70,22,18,15,9,West,Stop,None,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,17,9,Stop,Stop,Stop,South,-1,-1,-1,-1,0,-1,1730,South,1729
71,22,18,15,8,West,Stop,None,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,18,9,Stop,Stop,Stop,East,-1,-1,-1,-1,0,-1,1729,South,1728
75,22,18,17,8,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,18,9,Stop,Stop,Stop,West,-1,-1,-1,-1,0,-1,1725,North,1724
76,22,18,17,9,None,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,18,9,Stop,Stop,Stop,West,-1,-1,-1,-1,0,-1,1724,East,1923
3,22,18,11,5,West,Stop,East,North,South,West,4,False,True,True,True,True,1,3,6,16,14,15,18,5,West,West,East,West,12,12,12,12,12,2,-3,West,-4
4,22,18,10,5,West,Stop,East,North,South,West,4,False,True,True,True,True,1,4,6,15,14,15,19,5,North,South,East,East,10,10,10,10,12,2,-4,North,-5
5,22,18,10,6,West,Stop,East,North,South,North,4,False,True,True,True,True,1,3,6,14,14,14,20,5,South,South,South,East,12,12,12,12,12,1,-5,North,94
6,22,18,10,7,West,Stop,East,North,South,North,4,False,True,True,True,True,2,3,7,14,14,14,20,5,East,East,South,East,12,12,12,12,11,1,94,North,193
7,22,18,10,8,West,Stop,East,North,South,North,4,False,True,True,True,True,2,4,7,15,14,14,20,4,North,North,South,South,12,12,12,12,10,1,193,North,292
8,22,18,10,9,West,Stop,East,North,South,North,4,False,True,True,True,True,3,4,7,16,15,14,20,5,East,North,East,North,12,12,12,12,9,1,292,North,391
9,22,18,10,10,West,Stop,East,North,South,North,4,False,True,True,True,True,3,3,8,16,15,13,19,5,South,East,South,West,14,14,14,14,8,1,391,North,490
10,22,18,10,11,West,Stop,East,North,South,North,4,False,True,True,True,True,3,3,9,16,15,13,18,5,South,East,South,West,15,15,15,15,7,1,490,North,589
11,22,18,10,12,West,Stop,East,None,South,North,4,False,True,True,True,True,4,3,9,16,15,13,18,4,East,East,South,South,15,15,15,15,6,1,589,West,588
12,22,18,9,12,West,Stop,East,North,South,West,4,False,True,True,True,True,5,3,9,16,15,13,18,4,East,East,South,South,13,13,13,13,6,2,588,West,587
15,22,18,6,12,West,Stop,East,North,South,West,4,False,True,True,True,True,6,3,8,15,15,12,18,3,East,South,South,South,9,9,9,9,6,5,585,North,584
16,22,18,6,13,None,Stop,None,North,South,North,4,False,True,True,True,True,6,3,7,15,15,11,19,3,East,West,South,East,10,10,10,10,6,6,584,North,583
17,22,18,6,14,West,Stop,East,North,South,North,4,False,True,True,True,True,7,3,8,15,15,11,19,4,East,East,South,North,12,12,12,12,6,7,583,North,582
18,22,18,6,15,None,Stop,East,North,South,North,4,False,True,True,True,True,8,3,8,16,15,10,19,3,East,North,South,South,14,14,14,14,6,8,582,East,581
19,22,18,7,15,West,Stop,East,North,South,East,4,False,True,True,True,True,9,3,8,16,14,10,19,4,East,North,West,North,14,14,14,14,6,7,581,East,580
21,22,18,8,16,West,Stop,East,None,South,North,4,False,True,False,True,True,7,3,8,16,14,10,20,5,West,Stop,West,East,14,14,14,14,6,7,779,East,778
26,22,18,13,16,West,Stop,East,None,South,East,4,False,True,False,True,True,9,3,3,1,16,10,19,7,East,Stop,East,North,17,17,17,17,6,6,774,East,773
27,22,18,14,16,West,Stop,East,None,South,East,4,False,True,False,True,True,9,3,3,1,15,10,19,8,East,Stop,West,North,18,18,18,18,6,7,773,East,772
28,22,18,15,16,West,Stop,East,None,South,East,4,False,True,False,True,True,9,3,3,1,14,10,20,8,East,Stop,West,East,19,19,19,19,6,8,772,South,771
29,22,18,15,15,West,Stop,None,North,South,South,4,False,True,False,True,True,10,3,3,1,14,10,19,8,East,Stop,West,West,17,17,17,17,6,7,771,South,770
30,22,18,15,14,West,Stop,East,North,South,South,4,False,True,False,True,True,10,4,3,1,14,10,19,7,North,Stop,West,South,15,15,15,15,6,6,770,South,769
31,22,18,15,13,None,Stop,None,North,South,South,4,False,True,False,True,True,10,4,3,1,14,10,20,7,North,Stop,West,East,14,14,14,14,6,5,769,South,768
32,22,18,15,12,West,Stop,East,North,South,South,4,False,True,False,True,True,11,4,3,1,14,9,20,7,East,Stop,South,East,12,12,12,12,6,4,768,South,767
33,22,18,15,11,None,Stop,None,North,South,South,4,False,True,False,True,True,11,5,3,1,14,9,20,6,North,Stop,South,South,10,10,10,10,6,4,767,South,766
34,22,18,15,10,West,Stop,East,North,South,South,4,False,True,False,True,True,12,5,3,1,14,8,20,6,East,Stop,South,South,8,8,8,8,6,4,766,South,765
35,22,18,15,9,West,Stop,None,North,South,South,4,False,True,False,True,True,12,6,3,1,14,7,19,6,North,Stop,South,West,6,6,6,6,6,4,765,South,764
36,22,18,15,8,West,Stop,None,North,South,South,4,False,True,False,True,True,12,5,3,1,14,6,19,6,South,Stop,South,West,6,6,6,6,6,4,764,West,763
37,22,18,14,8,None,Stop,East,North,South,West,4,False,True,False,True,True,12,5,3,1,14,7,19,7,South,Stop,North,North,5,5,5,5,6,3,763,Stop,762
38,22,18,14,8,None,Stop,East,North,South,West,4,False,True,False,True,True,12,6,3,1,15,7,20,7,North,Stop,East,East,4,4,4,4,6,3,762,South,761
39,22,18,14,7,West,Stop,East,North,South,South,4,False,True,False,True,True,12,7,3,1,16,7,20,7,North,Stop,East,East,2,2,2,2,6,3,761,East,760
45,22,18,14,7,West,Stop,East,North,South,West,4,False,True,False,True,True,14,8,3,1,17,8,20,8,North,Stop,North,East,1,1,1,1,6,3,755,West,954
47,22,18,12,7,West,Stop,East,North,South,West,4,False,False,False,True,True,1,1,3,1,17,10,19,9,Stop,Stop,North,West,-1,-1,-1,-1,6,1,953,North,952
48,22,18,12,8,West,Stop,None,North,South,North,4,False,False,False,True,True,1,1,3,1,17,9,20,9,Stop,Stop,South,East,-1,-1,-1,-1,6,1,952,North,951
49,22,18,12,9,West,Stop,East,North,South,North,4,False,False,False,True,True,1,1,3,1,18,9,20,10,Stop,Stop,East,North,-1,-1,-1,-1,6,1,951,West,1050
50,22,18,11,9,West,Stop,East,North,South,West,4,False,False,False,True,True,1,1,3,1,17,9,20,11,Stop,Stop,West,North,-1,-1,-1,-1,5,1,1050,East,1049
51,22,18,12,9,West,Stop,East,North,South,East,4,False,False,False,True,True,1,1,3,1,17,10,20,12,Stop,Stop,North,North,-1,-1,-1,-1,5,2,1049,East,1048
53,22,18,14,9,West,Stop,East,North,South,East,4,False,False,False,True,True,1,1,3,1,17,10,20,12,Stop,Stop,West,South,-1,-1,-1,-1,5,4,1047,North,1046
54,22,18,14,10,None,Stop,East,None,South,North,4,False,False,False,True,True,1,1,3,1,18,10,20,13,Stop,Stop,East,North,-1,-1,-1,-1,5,3,1046,East,1045
55,22,18,15,10,West,Stop,East,North,South,East,4,False,False,False,True,True,1,1,3,1,18,11,19,13,Stop,Stop,North,West,-1,-1,-1,-1,5,4,1045,East,1044
57,22,18,17,10,West,Stop,East,None,South,East,4,False,False,False,True,True,1,1,3,1,18,9,19,13,Stop,Stop,South,West,-1,-1,-1,-1,5,6,1043,East,1042
58,22,18,18,10,West,Stop,None,North,South,East,4,False,False,False,True,True,1,1,3,1,17,9,20,13,Stop,Stop,West,East,-1,-1,-1,-1,5,7,1042,South,1241
60,22,18,17,9,None,Stop,East,North,South,West,4,False,False,False,False,True,1,1,3,1,5,1,20,13,Stop,Stop,Stop,South,-1,-1,-1,-1,5,7,1240,East,1239
62,22,18,19,9,West,Stop,East,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,20,15,Stop,Stop,Stop,North,-1,-1,-1,-1,5,9,1238,East,1237
63,22,18,20,9,West,Stop,None,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,20,15,Stop,Stop,Stop,North,-1,-1,-1,-1,5,10,1237,North,1236
