@relation pac-man

@attribute width NUMERIC
@attribute height NUMERIC
@attribute pacmanPosition NUMERIC
@attribute legalPacmanActions NUMERIC
@attribute direction NUMERIC
@attribute numAgents NUMERIC
@attribute livingGhosts NUMERIC
@attribute ghostPositions NUMERIC
@attribute ghostDirections NUMERIC
@attribute ghostDistances NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute action NUMERIC
@attribute score NUMERIC

@data
20,13,93,4031,4,4,11110,113151163,0002,0007,1,12,4,611
20,13,83,4031,4,4,11110,113151173,0003,0009,1,13,1,610
20,13,73,4031,4,4,11110,113151173,0003,00010,1,14,3,609
20,13,83,4031,3,4,11110,113151163,0004,0008,1,13,3,608
20,13,84,40312,1,4,11110,113151173,0003,00010,1,12,4,607
20,13,85,40312,1,4,11110,113151173,0003,00011,1,11,1,606
20,13,84,40312,2,4,11110,113151173,0003,00010,1,12,1,605
20,13,83,4031,2,4,11110,113151174,0001,00010,1,13,3,604
20,13,93,4031,3,4,11110,113151173,0002,0008,1,12,3,603
20,13,103,4031,3,4,11110,113151174,0001,0008,1,11,3,602
20,13,113,401,3,4,11110,113151184,0003,0008,1,10,1,601
20,13,103,4031,4,4,11110,113151183,0002,0008,1,11,4,600
20,13,113,401,3,4,11110,113151184,0001,0008,1,10,1,599
20,13,114,4012,1,4,11110,113151184,0001,0007,1,9,2,598
20,13,113,401,2,4,11110,113151184,0001,0008,1,10,4,597
20,13,113,401,2,4,11110,113151185,0001,0009,1,10,0,596
20,13,113,401,2,4,11110,113151185,0001,0009,1,10,4,595
20,13,103,4031,4,4,11110,113151175,0004,0009,1,11,1,594
20,13,113,401,3,4,11110,113151165,0004,0007,1,10,0,593
20,13,103,4031,4,4,11110,113151164,0002,0007,1,11,1,592
20,13,93,4031,4,4,11110,113151165,0001,0009,1,12,3,591
20,13,103,4031,3,4,11110,113151165,0001,0008,1,11,4,590
20,13,93,4031,4,4,11110,113151155,0004,0008,1,12,3,589
20,13,103,4031,3,4,11110,113151155,0004,0007,1,11,3,588
20,13,104,40312,1,4,11110,113151154,0002,0005,1,10,4,587
20,13,105,40312,1,4,11110,113151155,0001,0005,1,9,2,586
20,13,104,40312,2,4,11110,113151165,0003,0007,1,10,4,585
20,13,105,40312,1,4,11110,113151155,0004,0005,1,9,2,584
20,13,95,40312,4,4,11110,113151154,0002,0007,1,10,1,583
20,13,94,40312,2,4,11110,113151144,0004,0005,1,11,4,582
20,13,93,4031,2,4,11110,113151134,0004,0005,1,12,1,581
20,13,94,40312,1,4,11110,113151135,0001,0005,1,11,1,580
20,13,104,40312,3,4,11110,113151125,0004,0003,1,10,2,579
20,13,105,40312,1,4,11110,113151115,0004,0001,1,9,3,778
0,0,0,0,0,0,0,0,0,0,0,0,0,-1
22,18,125,401,0,4,10000,247151415194,0000,1115128,12,3,0,-2
22,18,126,4012,1,4,10000,347161315184,3144,1115108,12,2,2,-3
22,18,125,401,2,4,10000,337161415194,2133,1116128,12,3,0,-4
22,18,125,401,2,4,10000,238161415184,4334,1215127,12,3,4,-5
22,18,115,40312,4,4,10000,238151415183,4232,1113139,12,2,3,-6
22,18,116,40312,1,4,10000,338151414183,3222,11121110,12,1,4,93
